Steps,Paths,AbsPercentError,Kappa,Runtime
100,100,9.00617,7.61232e+13,0.0030105
100,100,7.65792,1.0686e+14,0.0030099
1000,100,5.43704,8.92139e+14,0.0286342
1000,100,20.3537,7.00615e+14,0.03651
100,1000,3.4803,4.32894e+13,0.0464019
100,1000,0.708046,4.89002e+13,0.0125851
100,10000,0.209895,4.71511e+13,0.103205
1000,1000,2.817,4.27447e+14,0.15041
1000,1000,2.08461,5.8939e+14,0.13935
100,10000,1.15505,4.77015e+13,0.0938833
10000,100,18.5654,1.88829e+15,0.535714
10000,100,2.31684,2.33871e+15,0.570054
100,100000,0.358993,4.71755e+13,1.18979
1000,10000,0.224455,4.37005e+14,1.226
1000,10000,0.253279,4.61781e+14,1.54848
100,100,27.1513,9.11991e+13,0.0133752
1000,100,10.0536,5.94006e+14,0.0376088
100,100000,0.263372,4.73995e+13,1.1009
10000,100,19.4896,3.28473e+15,0.454401
100,1000,5.9471,5.81942e+13,0.0159588
1000,1000,2.44637,4.38616e+14,0.2564
10000,1000,7.11422,2.076e+15,4.27795
10000,1000,5.13754,2.47656e+15,4.52867
100,10000,0.54233,4.80864e+13,0.118267
1000,10000,0.259552,4.78024e+14,1.32581
10000,1000,7.45092,1.90838e+15,5.59549
1000,100000,0.359848,4.83496e+14,14.4572
100,100000,0.152607,4.66546e+13,1.10527
1000,100000,0.334005,4.88264e+14,14.7127
100000,100,11.6907,2.3149e+15,22.4394
100,100,14.9245,4.79461e+13,0.0139585
1000,100,31.3216,1.12972e+15,0.0908399
10000,100,3.77089,2.1878e+15,0.41207
1000,100000,0.44373,4.7843e+14,14.466
100,1000,2.80127,5.69569e+13,0.0106612
1000,1000,5.7529,5.52024e+14,0.156255
10000,1000,5.82527,2.14192e+15,4.40332
100000,100,7.5918,1.82686e+15,33.2159
100,10000,0.913174,5.04118e+13,0.0962617
1000,10000,0.112967,4.6651e+14,1.34936
10000,10000,0.571194,2.08081e+15,36.3666
100000,100,23.9255,4.15459e+15,37.2932
10000,10000,0.364664,2.07477e+15,37.6354
100,100000,0.805793,4.47881e+13,1.04108
10000,10000,1.05895,1.93944e+15,37.3354
100,100,2.18823,1.66693e+14,0.0951981
1000,100,25.35,6.419e+14,0.0316286
10000,100,21.6386,2.30565e+15,0.470955
1000,100000,0.39758,4.72062e+14,14.5442
100,1000,2.41181,3.97713e+13,0.0169727
1000,1000,0.613664,5.96533e+14,0.166517
100000,100,41.4833,2.15672e+15,32.6419
10000,1000,1.7633,2.57544e+15,3.46366
100,10000,0.414093,4.33022e+13,0.0926034
1000,10000,1.11463,4.65823e+14,1.45397
100000,100,23.8444,1.54924e+15,21.8458
10000,10000,3.31683,1.98986e+15,41.0099
100,100000,0.442122,4.64691e+13,1.48062
1000,100000,0.0672446,4.83677e+14,16.7636
10000,10000,0.0634946,1.86196e+15,57.3893
100,100,5.04264,1.10914e+14,0.0067757
1000,100,1.15908,7.45688e+14,0.0376751
10000,100,14.0215,1.6786e+15,0.762554
100000,100,25.7923,3.27742e+15,30.8074
100,1000,2.46224,4.5224e+13,0.0147148
1000,1000,3.31301,3.37915e+14,0.138104
10000,1000,1.51294,2.45439e+15,5.33135
100000,1000,1.30055,1.65475e+15,355.936
100,10000,0.22713,4.76458e+13,0.249859
1000,10000,0.393631,5.1231e+14,1.99558
100000,1000,2.62783,2.29365e+15,366.642
100000,1000,0.134506,1.74294e+15,375.513
100,100000,0.768117,4.63154e+13,1.52447
10000,10000,1.38412,1.79685e+15,56.668
1000,100000,0.490213,4.93744e+14,41.9188
100,100,43.1629,7.55856e+13,0.0107782
1000,100,14.7903,3.70683e+14,0.0332891
10000,100,23.0711,1.9987e+15,0.815117
100000,100,8.04806,3.14815e+15,31.3179
100,1000,1.54047,7.13165e+13,0.0235023
1000,1000,2.34328,5.31257e+14,0.566415
100000,1000,6.1551,2.0464e+15,433.651
10000,1000,6.67342,1.63497e+15,14.2579
100,10000,2.06847,4.60174e+13,0.436582
1000,10000,0.618355,4.93517e+14,4.5827
100000,1000,1.82945,2.05682e+15,508.821
10000,10000,0.441233,2.02104e+15,106.829
100,100000,0.113015,4.59474e+13,1.1526
100000,1000,14.7188,1.83384e+15,483.74
1000,100000,0.400684,4.85391e+14,32.507
100,100,14.9752,5.57861e+13,0.013265
1000,100,6.84618,1.06159e+15,0.0343132
10000,100,22.8979,3.53818e+15,0.458
100000,100,24.3945,3.10735e+15,34.697
100,1000,1.48845,4.41519e+13,0.0314391
1000,1000,1.48792,4.40586e+14,0.228938
10000,1000,0.99544,2.1413e+15,4.44446
100000,1000,4.54924,1.97261e+15,381.407
100,10000,1.12915,5.15801e+13,1.28808
1000,10000,0.971002,5.51706e+14,1.6854
10000,10000,2.20983,2.04146e+15,87.619
100000,1000,2.35593,1.70271e+15,359.811
100,100000,0.492345,4.61949e+13,2.32667
1000,100000,0.256926,4.84888e+14,43.8212
10000,100000,0.143759,1.9527e+15,1145.84
100,100,21.7857,3.94203e+13,0.32251
1000,100,14.0874,6.83685e+14,0.0468896
10000,100,14.0505,3.57834e+15,0.639425
100000,100,21.4789,2.80322e+15,25.5607
100,1000,1.03946,5.23855e+13,0.0293854
1000,1000,2.84262,4.94036e+14,0.158839
10000,1000,0.179481,1.85947e+15,4.94701
10000,100000,0.388614,1.86574e+15,928.838
100,10000,2.06531,4.58114e+13,0.189552
1000,10000,0.926407,4.56589e+14,1.68207
10000,10000,0.51487,1.7799e+15,40.9507
10000,100000,1.73227,1.94939e+15,752.878
100,100000,0.257391,4.59763e+13,1.34108
1000,100000,0.53796,4.85631e+14,16.6123
100000,1000,6.06976,1.71437e+15,254.712
100,100,3.36404,4.16375e+13,0.0190439
1000,100,33.4826,8.69686e+14,0.0519714
10000,100,9.42232,1.64897e+15,0.552666
10000,100000,0.745825,1.95209e+15,1517.1
100,1000,4.45824,5.05306e+13,0.0171534
1000,1000,0.465304,5.14417e+14,0.167797
100000,100,28.7495,4.37871e+15,29.2627
10000,1000,0.449598,1.77164e+15,4.12979
100,10000,2.78437,4.3836e+13,0.116347
1000,10000,0.287697,4.9204e+14,1.56597
10000,100000,1.31623,1.91682e+15,484.851
10000,10000,3.53196,2.06995e+15,42.5752
100,100000,0.0243317,4.74082e+13,1.20513
1000,100000,0.156164,4.73453e+14,15.9085
10000,100000,0.99514,1.93782e+15,1653.86
10000,100000,0.392182,1.91172e+15,1642.54
10000,100000,0.5748,1.95298e+15,1670.79
100000,1000,0.178349,2.28238e+15,239.84
10000,100000,0.00973905,1.93026e+15,426.021
10000,100000,0.254412,1.89166e+15,382.785
100000,10000,1.81496,2.02628e+15,2925.67
100000,10000,0.437283,2.10637e+15,2537.36
100000,10000,1.52732,2.14735e+15,2714.88
100000,10000,1.52792,2.02821e+15,3154.66
100000,10000,0.972706,2.07264e+15,3126.56
100000,10000,0.850525,2.11109e+15,3191.64
100000,10000,1.6829,1.97338e+15,3250.8
100000,10000,0.965743,2.04978e+15,2309.08
100000,10000,2.11878,2.13452e+15,1926.69
100000,10000,0.208798,2.03731e+15,2148.06
